,lat,long,type
167,37.47729814,127.0060892,bus
168,37.47481306,127.0008963,bus
169,37.47371366,126.9946257,bus
170,37.4746325,126.9905678,bus
171,37.47560783,126.9870922,bus
172,37.47549996,126.9868156,bus
173,37.47439951,126.9907066,bus
174,37.4734548,126.9969045,bus
175,37.47490877,127.0015678,bus
176,37.47729451,127.0065428,bus
177,37.49105794,126.98693,bus
178,37.48685892,126.9892561,bus
179,37.48057,127.0131,bus
180,37.49044839,126.9919194,bus
181,37.49063005,126.9916348,bus
182,37.48490006,127.0373914,bus
183,37.4833296,127.0421251,bus
184,37.48013767,127.0411792,bus
185,37.47618353,127.0355874,bus
186,37.47641114,127.0360524,bus
187,37.47457095,127.0319393,bus
188,37.47485987,127.0330257,bus
189,37.47235218,127.0279842,bus
190,37.47215479,127.0279833,bus
191,37.47080292,127.0255938,bus
192,37.47075244,127.0258272,bus
193,37.4674662,127.0279296,bus
194,37.46755,127.028102,bus
195,37.46533909,127.0262057,bus
196,37.46537344,127.0250805,bus
197,37.45900235,127.0179374,bus
198,37.45864917,127.0176784,bus
199,37.45747754,127.0127168,bus
200,37.45741948,127.0142815,bus
201,37.483382,127.0349993,bus
202,37.483395,127.035321,bus
203,37.47886958,127.0382491,bus
204,37.47943613,127.0383697,bus
205,37.46949997,127.0392083,bus
206,37.473713,127.038365,bus
207,37.4732828,127.0386338,bus
208,37.47082408,127.038469,bus
209,37.47116622,127.0386778,bus
210,37.468533,127.039557,bus
211,37.46044966,127.0352832,bus
212,37.46022806,127.035175,bus
213,37.4639685,127.0446172,bus
214,37.463517,127.045401,bus
215,37.47037049,127.0493483,bus
216,37.47375739,127.0483894,bus
217,37.47212027,127.0501694,bus
218,37.47663728,127.0453802,bus
219,37.4720799,127.0458014,bus
220,37.46949822,127.0410262,bus
221,37.47000522,127.0416463,bus
222,37.46056767,127.0463635,bus
223,37.46042221,127.046547,bus
224,37.45745522,127.0476502,bus
225,37.45699692,127.048308,bus
226,37.45429389,127.050715,bus
227,37.45446543,127.0507602,bus
228,37.45328338,127.0512463,bus
229,37.45330406,127.0513711,bus
230,37.44446506,127.057735,bus
231,37.4448807,127.0576299,bus
232,37.43732457,127.0632448,bus
233,37.43685704,127.0638928,bus
234,37.43484442,127.0658214,bus
235,37.43479359,127.0660472,bus
236,37.43077966,127.0707719,bus
237,37.46166565,127.0489854,bus
238,37.46181149,127.0490286,bus
239,37.45849195,127.0565126,bus
240,37.45943433,127.0546666,bus
241,37.45546807,127.0639663,bus
242,37.45620139,127.0623339,bus
243,37.45699896,127.0704494,bus
244,37.45760454,127.071817,bus
245,37.4598669,127.0794518,bus
246,37.46106371,127.0827095,bus
247,37.46155315,127.0846902,bus
248,37.46372113,127.0914111,bus
249,37.46320952,127.0893535,bus
250,37.49820487,126.9925976,bus
251,37.49762415,127.0267962,bus
252,37.47464694,126.9905196,bus
253,37.45972936,127.0868844,bus
254,37.48808193,126.9947345,bus
255,37.49387978,127.0146976,bus
256,37.4579365,127.016667,bus
257,37.4969872,127.0278937,bus
258,37.78159351,127.0603401,bus
259,37.4617508,127.0491735,bus
260,37.45844838,127.0566171,bus
261,37.45940572,127.054735,bus
262,37.45616301,127.0624258,bus
263,37.4569229,127.0702184,bus
264,37.45764354,127.0719356,bus
265,37.47630849,126.9827262,bus
266,37.49507672,126.9858179,bus
267,37.49084727,126.9831344,bus
268,37.46809512,127.0464226,bus
269,37.48522033,127.0177863,bus
270,37.46350689,127.0216787,bus
271,37.48534796,127.0177867,bus
272,37.46646517,127.0441356,bus
273,37.49084731,127.0080245,bus
274,37.49824407,126.9903039,bus
275,37.50762076,126.9996164,bus
276,37.50689335,127.000223,bus
277,37.4615396,127.0901333,bus
278,37.46201686,127.0366805,bus
279,37.48563375,126.9844295,bus
280,37.48588003,126.9867079,bus
281,37.48660695,126.9902438,bus
282,37.48680133,126.9940608,bus
283,37.48574395,126.9948928,bus
284,37.4874608,126.9926506,bus
285,37.48629366,126.988853,bus
286,37.48577786,126.9847861,bus
287,37.48150813,126.9982092,bus
288,37.48190164,126.9973934,bus
289,37.50577112,126.98057,bus
290,37.4572143,127.0599311,bus
291,37.45691011,127.0602651,bus
292,37.49503888,127.0184579,bus
293,37.44862052,127.0542118,bus
294,37.44942362,127.0535601,bus
295,37.44729572,127.0557865,bus
296,37.51210298,126.9975825,bus
297,37.51088677,126.9984501,bus
298,37.47308527,127.0386297,bus
299,37.47411871,126.9924508,bus
300,37.49366803,126.986218,bus
301,37.48477868,127.0155177,bus
302,37.49809735,126.9880597,bus
303,37.46313935,127.0891355,bus
304,37.46344498,127.0351133,bus
305,37.48525148,126.995076,bus
306,37.46333629,127.0238782,bus
307,37.47950391,127.0383486,bus
308,37.47457301,126.9907798,bus
309,37.48560432,126.9841607,bus
310,37.49221547,126.9888913,bus
311,37.4851785,127.0175898,bus
312,37.49785585,126.9916891,bus
313,37.46534412,127.0341232,bus
314,37.48343664,126.9962492,bus
315,37.49221257,127.0207951,bus
316,37.48328105,127.0422642,bus
317,37.48365718,127.0350604,bus
318,37.47630827,126.9862455,bus
319,37.48585195,126.9864443,bus
320,37.49313359,126.9912013,bus
321,37.48616473,127.0209613,bus
322,37.49794821,126.993379,bus
323,37.45553456,127.0807463,bus
324,37.468237,127.0340074,bus
325,37.48153473,126.998443,bus
326,37.49042696,127.0208382,bus
327,37.50094051,127.0120146,bus
328,37.48633277,126.9893577,bus
329,37.49227058,126.9905979,bus
330,37.49525971,126.9889053,bus
331,37.49372447,126.9936045,bus
332,37.48696066,127.0234695,bus
333,37.49856383,126.9955029,bus
334,37.4586099,127.0816834,bus
335,37.46991487,127.0324119,bus
336,37.48211214,127.0017572,bus
337,37.477089,126.982671,bus
338,37.50273708,127.0124543,bus
339,37.48668352,127.0290975,bus
