,lat1,long1,lat2,long2,lat3,long3,lat4,long4,address
0,37.42965236,127.0497467,37.42948434,127.0551596,37.43414993,127.04994879999998,37.43398188,127.0553619,서울특별시 서초구 원지동
1,37.42948434,127.0551596,37.42931608,127.0605724,37.43398188,127.0553619,37.43381359999999,127.06077509999999,서울특별시 서초구 원지동
2,37.42931608,127.0605724,37.42914759,127.0659852,37.43381359999999,127.06077509999999,37.43364507,127.0661881,서울특별시 서초구 신원동
3,37.42914759,127.0659852,37.42897886,127.07139790000001,37.43364507,127.0661881,37.43347631,127.0716012,서울특별시 서초구 신원동
4,37.43431774,127.0445355,37.43414993,127.04994879999998,37.43881533,127.0447374,37.43864749,127.0501509,서울특별시 서초구 원지동
5,37.43414993,127.04994879999998,37.43398188,127.0553619,37.43864749,127.0501509,37.43847942,127.0555644,서울특별시 서초구 원지동
6,37.43398188,127.0553619,37.43381359999999,127.06077509999999,37.43847942,127.0555644,37.4383111,127.0609778,서울특별시 서초구 원지동
7,37.43381359999999,127.06077509999999,37.43364507,127.0661881,37.4383111,127.0609778,37.43814255,127.06639109999998,서울특별시 서초구 원지동
8,37.43364507,127.0661881,37.43347631,127.0716012,37.43814255,127.06639109999998,37.43797376,127.07180449999998,서울특별시 서초구 신원동
9,37.43915028999999,127.03391029999999,37.43898293,127.03932379999998,37.44364793,127.0341116,37.44348054,127.03952549999998,서울특별시 서초구 원지동
10,37.43898293,127.03932379999998,37.43881533,127.0447374,37.44348054,127.03952549999998,37.44331292,127.04493929999998,서울특별시 서초구 원지동
11,37.43881533,127.0447374,37.43864749,127.0501509,37.44331292,127.04493929999998,37.44314505,127.0503531,서울특별시 서초구 원지동
12,37.43864749,127.0501509,37.43847942,127.0555644,37.44314505,127.0503531,37.44297695,127.0557668,서울특별시 서초구 원지동
13,37.43847942,127.0555644,37.4383111,127.0609778,37.44297695,127.0557668,37.44280861,127.06118049999999,서울특별시 서초구 원지동
14,37.4383111,127.0609778,37.43814255,127.06639109999998,37.44280861,127.06118049999999,37.44264003,127.0665942,서울특별시 서초구 신원동
15,37.43814255,127.06639109999998,37.43797376,127.07180449999998,37.44264003,127.0665942,37.44247121,127.0720078,서울특별시 서초구 신원동
16,37.44348054,127.03952549999998,37.44331292,127.04493929999998,37.44797815,127.0397271,37.4478105,127.0451412,서울특별시 서초구 원지동
17,37.44331292,127.04493929999998,37.44314505,127.0503531,37.4478105,127.0451412,37.44764261,127.0505553,서울특별시 서초구 원지동
18,37.44314505,127.0503531,37.44297695,127.0557668,37.44764261,127.0505553,37.44747447,127.0559693,서울특별시 서초구 원지동
19,37.44297695,127.0557668,37.44280861,127.06118049999999,37.44747447,127.0559693,37.4473061,127.0613833,서울특별시 서초구 신원동
20,37.44280861,127.06118049999999,37.44264003,127.0665942,37.4473061,127.0613833,37.4471375,127.0667973,서울특별시 서초구 신원동
21,37.44264003,127.0665942,37.44247121,127.0720078,37.4471375,127.0667973,37.44696865,127.0722112,서울특별시 서초구 신원동
22,37.44247121,127.0720078,37.44230215,127.07742140000002,37.44696865,127.0722112,37.44679956,127.077625,서울특별시 서초구 내곡동
23,37.44230215,127.07742140000002,37.44213286,127.08283490000002,37.44679956,127.077625,37.44663024,127.0830388,서울특별시 서초구 내곡동
24,37.44797815,127.0397271,37.4478105,127.0451412,37.45247576,127.03992879999998,37.45230808,127.0453432,서울특별시 서초구 원지동
25,37.4478105,127.0451412,37.44764261,127.0505553,37.45230808,127.0453432,37.45214016,127.05075759999998,서울특별시 서초구 원지동
26,37.44764261,127.0505553,37.44747447,127.0559693,37.45214016,127.05075759999998,37.45197199999999,127.0561719,서울특별시 서초구 신원동
27,37.44747447,127.0559693,37.4473061,127.0613833,37.45197199999999,127.0561719,37.45180360000001,127.0615862,서울특별시 서초구 신원동
28,37.4473061,127.0613833,37.4471375,127.0667973,37.45180360000001,127.0615862,37.45163496,127.06700039999998,서울특별시 서초구 내곡동
29,37.4471375,127.0667973,37.44696865,127.0722112,37.45163496,127.06700039999998,37.45146609,127.0724146,서울특별시 서초구 내곡동
30,37.44696865,127.0722112,37.44679956,127.077625,37.45146609,127.0724146,37.45129697,127.0778287,서울특별시 서초구 내곡동
31,37.44679956,127.077625,37.44663024,127.0830388,37.45129697,127.0778287,37.45112762,127.08324280000001,서울특별시 서초구 내곡동
32,37.44663024,127.0830388,37.44646068,127.08845259999998,37.45112762,127.08324280000001,37.45095803,127.08865690000002,서울특별시 서초구 내곡동
33,37.4533106,127.0128561,37.45314411,127.0182707,37.45780834,127.0130564,37.45764182,127.0184713,서울특별시 서초구 우면동
34,37.45264321,127.0345144,37.45247576,127.03992879999998,37.45714084,127.0347158,37.45697336,127.04013059999998,서울특별시 서초구 양재동
35,37.45247576,127.03992879999998,37.45230808,127.0453432,37.45697336,127.04013059999998,37.45680565,127.0455452,서울특별시 서초구 원지동
36,37.45230808,127.0453432,37.45214016,127.05075759999998,37.45680565,127.0455452,37.4566377,127.0509599,서울특별시 서초구 원지동
37,37.45214016,127.05075759999998,37.45197199999999,127.0561719,37.4566377,127.0509599,37.45646951,127.05637450000002,서울특별시 서초구 신원동
38,37.45197199999999,127.0561719,37.45180360000001,127.0615862,37.45646951,127.05637450000002,37.45630109,127.06178909999996,서울특별시 서초구 신원동
39,37.45180360000001,127.0615862,37.45163496,127.06700039999998,37.45630109,127.06178909999996,37.45613242,127.06720359999996,서울특별시 서초구 내곡동
40,37.45163496,127.06700039999998,37.45146609,127.0724146,37.45613242,127.06720359999996,37.45596352,127.07261799999999,서울특별시 서초구 내곡동
