id,lat1,long1,lat2,long2,lat3,long3,lat4,long4,like,dislike,address
gn38,37.5107762,127.0479731,37.51060791,127.0533912,37.51527372,127.0481757,37.5151054,127.0535941,0,0,서울특별시 강남구 봉은사로73길 7
gn39,37.51060791,127.0533912,37.51043938,127.0588093,37.5151054,127.0535941,37.51493685,127.0590124,0,0,서울특별시 강남구 봉은사로86길 6
gn40,37.51043938,127.0588093,37.51027062,127.0642273,37.51493685,127.0590124,37.51476805,127.0644307,0,0,서울특별시 강남구 영동대로106길 5
gn41,37.51594459,127.0265018,37.51577723,127.0319203,37.52044222,127.0267033,37.52027483,127.0321221,0,0,서울특별시 강남구 논현로 740
gn42,37.51560963,127.0373388,37.51544179,127.0427573,37.5201072,127.0375409,37.51993934,127.0429597,0,0,서울특별시 강남구 선릉로131길 8
gn43,37.51527372,127.0481757,37.5151054,127.0535941,37.51977123,127.0483784,37.51960289,127.0537971,0,0,서울특별시 강남구 삼성로 642
gn44,37.5151054,127.0535941,37.51493685,127.0590124,37.51960289,127.0537971,37.5194343,127.0592157,0,0,서울특별시 강남구 영동대로129길 36
gn45,37.51493685,127.0590124,37.51476805,127.0644307,37.5194343,127.0592157,37.51926548,127.0646342,0,0,서울특별시 강남구 영동대로118길 30-5
gn46,37.5201072,127.0375409,37.51993934,127.0429597,37.52460477,127.037743,37.52443687,127.0431621,0,0,서울특별시 강남구 도산대로56길 13
gn47,37.51960289,127.0537971,37.5194343,127.0592157,37.52410037,127.054,37.52393175,127.059419,0,0,서울특별시 강남구 영동대로 714
gn48,37.52493984,127.0269048,37.52477242,127.032324,37.52943746,127.0271064,37.52927001,127.0325258,0,0,서울특별시 강남구 논현로176길 14
gn49,37.52460477,127.037743,37.52443687,127.0431621,37.52910233,127.0379452,37.52893441,127.0433645,0,0,서울특별시 강남구 선릉로 838
